User_ID,Age_Group,Gender,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional_Stability,Lighting_Level,Temperature,Acoustic_Level,Layout_Adaptability,Space_Utilization,Movement_Pattern,Emotional_Feedback,Comfort_Level,Engagement_Level,Sentiment_Category,Predicted_Behavior
U0001,26-40,Male,0.64,0.61,0.33,0.69,0.86,216.2,25.0,37.9,9,96.0,4,-0.58,10,6,Unhappy,Exploring
U0002,61+,Female,0.5,0.58,0.49,0.38,0.61,510.9,27.5,58.0,8,27.2,2,-0.43,1,5,Unhappy,Socializing
U0003,41-60,Male,0.58,0.24,0.86,0.23,0.44,344.5,23.2,63.2,0,74.5,4,0.3,8,8,Happy,Socializing
U0004,26-40,Female,0.32,0.24,0.46,0.48,0.64,416.7,23.4,33.1,1,41.9,1,-0.28,4,3,Unhappy,Socializing
U0005,18-25,Female,0.41,0.33,0.66,0.85,0.84,184.9,28.6,73.6,2,48.6,2,0.11,4,3,Neutral,Relaxing
U0006,18-25,Female,0.66,0.22,0.38,0.21,0.39,485.3,28.8,39.3,0,80.3,1,-0.18,5,7,Neutral,Exploring
U0007,18-25,Male,0.88,0.72,0.29,0.61,0.55,984.9,20.9,41.3,1,29.6,3,-0.66,2,3,Unhappy,Socializing
U0008,41-60,Male,0.24,0.71,0.24,0.55,0.87,395.9,20.4,63.1,1,9.7,1,-0.85,1,2,Unhappy,Relaxing
U0009,26-40,Female,0.82,0.3,0.41,0.81,0.32,888.8,24.0,53.4,6,52.0,1,-0.53,5,6,Unhappy,Socializing
U0010,41-60,Female,0.6,0.79,0.31,0.26,0.7,858.9,28.8,55.0,9,52.9,2,-0.88,7,4,Unhappy,Working
U0011,18-25,Male,0.59,0.31,0.32,0.68,0.63,956.9,21.9,36.4,5,79.7,3,0.24,10,8,Happy,Exploring
U0012,61+,Female,0.55,0.41,0.73,0.68,0.68,811.1,25.8,70.3,8,96.8,1,0.59,9,4,Happy,Relaxing
U0013,41-60,Female,0.25,0.37,0.21,0.67,0.45,693.6,26.5,60.9,4,5.5,3,-0.32,2,8,Unhappy,Working
U0014,18-25,Male,0.26,0.46,0.59,0.86,0.42,870.9,27.3,36.8,8,59.2,1,-0.23,8,5,Unhappy,Socializing
U0015,18-25,Male,0.62,0.38,0.47,0.78,0.68,168.1,24.8,48.7,9,68.1,1,0.63,7,5,Happy,Working
U0016,18-25,Female,0.44,0.54,0.55,0.23,0.35,516.5,22.8,70.5,8,98.6,2,-0.55,2,10,Unhappy,Working
U0017,26-40,Male,0.84,0.49,0.59,0.53,0.49,990.3,29.6,58.4,1,94.3,4,-0.76,5,5,Unhappy,Relaxing
U0018,26-40,Male,0.48,0.89,0.42,0.48,0.33,792.6,25.3,35.4,8,71.2,1,0.0,7,6,Neutral,Exploring
U0019,26-40,Male,0.3,0.24,0.41,0.42,0.21,965.9,26.7,48.6,2,52.2,1,0.29,3,10,Happy,Exploring
